"","game_date","home_team","away_team","game_pk","ump"
"4","2023-03-31","SD","COL",718766,"Brian O'Nora"
"8","2023-03-31","HOU","CWS",718764,"Rob Drake"
"17","2023-03-31","MIA","NYM",718771,"Chris Guccione"
"27","2023-03-31","SEA","CLE",718763,"Jordan Baker"
"58","2023-03-31","LAD","AZ",718765,"Hunter Wendelstedt"
"1432","2023-03-30","CIN","PIT",718773,"Mark Wegner"
"1435","2023-03-30","MIA","NYM",718774,"Larry Vanover"
"1450","2023-03-30","NYY","SF",718781,"Laz Diaz"
"1451","2023-03-30","SD","COL",718778,"Chris Conroy"
"1462","2023-03-30","OAK","LAA",718769,"Adrian Johnson"
"1474","2023-03-30","CHC","MIL",718777,"Ron Kulpa"
"1488","2023-03-30","LAD","AZ",718770,"Marvin Hudson"
"1504","2023-03-30","STL","TOR",718772,"Dan Iassogna"
"1511","2023-03-30","SEA","CLE",718767,"Mark Carlson"
"1513","2023-03-30","TB","DET",718776,"Jerry Layne"
"1557","2023-03-30","HOU","CWS",718768,"Bill Miller"
"1572","2023-03-30","KC","MIN",718775,"Todd Tichenor"
"1574","2023-03-30","WSH","ATL",718780,"Dan Bellino"
"1645","2023-03-30","BOS","BAL",718782,"Lance Barksdale"
"1839","2023-03-30","TEX","PHI",718779,"Jeff Nelson"
"5955","2023-04-04","HOU","DET",718705,"Jeff Nelson"
"5960","2023-04-04","MIA","MIN",718714,"Laz Diaz"
"5962","2023-04-04","SEA","LAA",718706,"Brian O'Nora"
"5967","2023-04-04","OAK","CLE",718707,"Doug Eddings"
"5976","2023-04-04","MIL","NYM",718712,"Jim Wolf"
"5982","2023-04-04","LAD","COL",718703,"Jordan Baker"
"5987","2023-04-04","STL","ATL",718711,"Junior Valentine"
"6010","2023-04-04","SD","AZ",718717,"Ron Kulpa"
"6043","2023-04-04","KC","TOR",718708,"Jerry Layne"
"6055","2023-04-04","TEX","BAL",718709,"Hunter Wendelstedt"
"6074","2023-04-04","CIN","CHC",718716,"Rob Drake"
"6078","2023-04-04","BOS","PIT",718713,"Dan Iassogna"
"6183","2023-04-04","WSH","TB",718715,"Chris Guccione"
"6339","2023-04-04","NYY","PHI",718710,"Chad Fairchild"
"9981","2023-04-03","TEX","BAL",718726,"Marvin Hudson"
"9983","2023-04-03","MIL","NYM",718731,"Alan Porter"
"9985","2023-04-03","SD","AZ",718722,"Jansen Visconti"
"9993","2023-04-03","STL","ATL",718727,"Tony Randazzo"
"9994","2023-04-03","BOS","PIT",718724,"Adam Beck"
"10001","2023-04-03","HOU","DET",718723,"Ben May"
"10005","2023-04-03","LAD","COL",718718,"Mark Carlson"
"10016","2023-04-03","CIN","CHC",718728,"Bill Miller"
"10017","2023-04-03","WSH","TB",718732,"Larry Vanover"
"10020","2023-04-03","CWS","SF",718730,"James Hoye"
"10062","2023-04-03","KC","TOR",718719,"Adam Hamari"
"10082","2023-04-03","OAK","CLE",718721,"Alfonso Márquez"
"10090","2023-04-03","NYY","PHI",718725,"Paul Emmel"
"10111","2023-04-03","SEA","LAA",718720,"Charlie Ramos"
"10136","2023-04-03","MIA","MIN",718729,"Mike Estabrook"
"14603","2023-04-02","TEX","PHI",718739,"Chris Segal"
"14606","2023-04-02","HOU","CWS",718740,"Roberto Ortiz"
"14610","2023-04-02","OAK","LAA",718734,"Quinn Wolcott"
"14618","2023-04-02","NYY","SF",718747,"Erich Bacchus"
"14625","2023-04-02","SD","COL",718733,"Nestor Ceja"
"14627","2023-04-02","CIN","PIT",718744,"Stu Scheurwater"
"14632","2023-04-02","WSH","ATL",718743,"Mark Ripperger"
"14654","2023-04-02","CHC","MIL",718738,"Carlos Torres"
"14668","2023-04-02","STL","TOR",718737,"Gabe Morales"
"14671","2023-04-02","KC","MIN",718745,"Alex Tosi"
"14678","2023-04-02","SEA","CLE",718735,"Brennan Miller"
"14692","2023-04-02","MIA","NYM",718741,"Edwin Moscoso"
"14706","2023-04-02","BOS","BAL",718748,"Ryan Additon"
"14779","2023-04-02","LAD","AZ",718736,"Ryan Blakney"
"14873","2023-04-02","TB","DET",718742,"Nick Mahrley"
"18827","2023-04-01","CIN","PIT",718756,"Bruce Dreckman"
"18842","2023-04-01","CHC","MIL",718758,"Cory Blaser"
"18850","2023-04-01","TEX","PHI",718752,"CB Bucknor"
"18851","2023-04-01","HOU","CWS",718760,"Chad Whitson"
"18859","2023-04-01","STL","TOR",718759,"Scott Barry"
"18865","2023-04-01","MIA","NYM",718755,"David Rackley"
"18874","2023-04-01","WSH","ATL",718753,"Phil Cuzzi"
"18923","2023-04-01","LAD","AZ",718749,"John Tumpane"
"18933","2023-04-01","KC","MIN",718751,"Brian Knight"
"18941","2023-04-01","OAK","LAA",718757,"Manny Gonzalez"
"18966","2023-04-01","SEA","CLE",718746,"Tripp Gibson"
"18977","2023-04-01","SD","COL",718750,"Pat Hoberg"
"19142","2023-04-01","NYY","SF",718762,"Andy Fletcher"
"19220","2023-04-01","BOS","BAL",718761,"Will Little"
"19281","2023-04-01","TB","DET",718754,"Vic Carapazza"
"23300","2023-04-08","PHI","CIN",718668,"Alan Porter"
"23302","2023-04-08","ATL","SD",718659,"Chad Fairchild"
"23310","2023-04-08","MIL","STL",718660,"Jerry Layne"
"23315","2023-04-08","BAL","NYY",718664,"Roberto Ortiz"
"23336","2023-04-08","CHC","TEX",718669,"Charlie Ramos"
"23357","2023-04-08","CLE","SEA",718663,"James Hoye"
"23363","2023-04-08","NYM","MIA",718661,"Ben May"
"23392","2023-04-08","TB","OAK",718665,"Marvin Hudson"
"23411","2023-04-08","LAA","TOR",718657,"Tony Randazzo"
"23414","2023-04-08","COL","WSH",718658,"Jansen Visconti"
"23428","2023-04-08","PIT","CWS",718662,"Mike Estabrook"
"23449","2023-04-08","AZ","LAD",718656,"Doug Eddings"
"23470","2023-04-08","MIN","HOU",718666,"Brennan Miller"
"23624","2023-04-08","SF","KC",718672,"Adam Beck"
"23728","2023-04-08","DET","BOS",718667,"Chris Guccione"
"27827","2023-04-07","LAA","TOR",718670,"Brian Knight"
"27833","2023-04-07","AZ","LAD",718671,"Alfonso Márquez"
"27835","2023-04-07","CLE","SEA",718677,"Nate Tomlinson"
"27837","2023-04-07","ATL","SD",718676,"Paul Emmel"
"27854","2023-04-07","COL","WSH",718673,"Carlos Torres"
"27856","2023-04-07","MIN","HOU",718684,"Tripp Gibson"
"27863","2023-04-07","SF","KC",718680,"Clint Vondrak"
"27896","2023-04-07","MIL","STL",718674,"Adam Hamari"
"27912","2023-04-07","PHI","CIN",718685,"Sean Barber"
"27964","2023-04-07","CHC","TEX",718675,"Nestor Ceja"
"27998","2023-04-07","NYM","MIA",718693,"Chris Segal"
"28001","2023-04-07","BAL","NYY",718688,"Chad Whitson"
"28179","2023-04-07","TB","OAK",718678,"Ryan Blakney"
"28228","2023-04-07","PIT","CWS",718679,"Ryan Wills"
"32083","2023-04-06","KC","TOR",718686,"Manny Gonzalez"
"32091","2023-04-06","ATL","SD",718681,"Jeremie Rehak"
"32097","2023-04-06","COL","WSH",718682,"Cory Blaser"
"32100","2023-04-06","AZ","LAD",718683,"Ramon De Jesus"
"32106","2023-04-06","CWS","SF",718687,"John Libka"
"32282","2023-04-06","DET","BOS",718690,"Edwin Moscoso"
"33913","2023-04-05","SEA","LAA",718691,"Pat Hoberg"
"33916","2023-04-05","BOS","PIT",718702,"Scott Barry"
"33924","2023-04-05","NYY","PHI",718699,"Nic Lentz"
"33942","2023-04-05","CWS","SF",718695,"D.J. Reyburn"
